,title,imdb_rating,US_box_office,runtime
0,Doctor Strange in the Multiverse of Madness,6.9,411.33,126
1,It,7.3,327.48,135
2,I Am Legend,7.2,256.39,101
3,The Exorcist,8.1,232.91,122
4,It Chapter Two,6.5,211.59,169
5,World War Z,7.0,202.36,116
6,A Quiet Place,7.5,188.02,90
7,Get Out,7.7,176.04,104
8,Us,6.8,175.08,116
9,Hotel Transylvania 2,6.6,169.70,89
10,Hotel Transylvania 3: Summer Vacation,6.3,167.51,97
11,A Quiet Place Part II,7.2,160.07,97
12,Halloween,6.5,159.34,106
13,What Lies Beneath,6.6,155.46,130
14,Hotel Transylvania,7.0,148.31,91
15,Gremlins,7.3,148.17,106
16,The Meg,5.6,143.01,113
17,The Blair Witch Project,6.5,140.54,81
18,The Rocky Horror Picture Show,7.4,139.88,100
19,Split,7.3,138.29,117
20,The Conjuring,7.5,137.40,112
21,The Ring,7.1,129.13,115
22,Nope,6.8,123.28,130
23,The Nun,5.3,117.45,96
24,Glass,6.6,111.05,129
25,The Grudge,5.9,110.36,91
26,Paranormal Activity,6.3,107.92,86
27,Interview with the Vampire: The Vampire Chronicles,7.5,105.26,123
28,Paranormal Activity 3,5.8,104.01,83
29,Scream,7.4,103.05,111
30,Jaws 2,5.8,102.92,116
31,The Mummy: Tomb of the Dragon Emperor,5.2,102.49,112
32,The Conjuring 2,7.3,102.47,134
33,Annabelle: Creation,6.5,102.09,109
34,Scream 2,6.3,101.36,120
35,Sleepy Hollow,7.3,101.07,105
36,The Addams Family,5.8,100.04,86
37,The Others,7.6,96.52,104
38,M3GAN,6.4,93.88,102
39,Halloween Kills,5.5,92.00,105
40,The Haunting,5.0,91.41,113
41,The Black Phone,6.9,90.12,103
42,Don't Breathe,7.1,89.22,88
43,Scream 3,5.6,89.14,116
44,Saw II,6.6,87.04,93
45,The Amityville Horror,6.1,86.43,117
46,Paranormal Activity 2,5.7,84.75,91
47,Annabelle,5.4,84.27,99
48,Scooby-Doo 2: Monsters Unleashed,5.2,84.22,93
49,Insidious: Chapter 2,6.5,83.59,106
0,Freddy vs. Jason,5.7,82.62,97
1,Dracula,7.4,82.52,128
2,Blade II,6.7,82.35,117
3,Scream,6.3,81.64,114
4,The Texas Chainsaw Massacre,6.2,80.57,98
5,Alien vs. Predator,5.6,80.28,101
6,Saw III,6.2,80.24,108
7,The Mummy,5.4,80.10,110
8,Goosebumps,6.3,80.08,103
9,Cloverfield,7.0,80.05,85
10,Dark Shadows,6.2,79.73,113
11,The Purge: Election Year,6.0,79.21,108
12,Alien,8.5,78.90,117
13,Where the Wild Things Are,6.7,77.23,101
14,Poltergeist,7.3,76.61,114
15,The Ring Two,5.4,76.23,110
16,Constantine,7.0,75.98,121
17,The Haunted Mansion,5.1,75.85,88
18,Hellboy II: The Golden Army,7.0,75.75,120
19,Zombieland,7.6,75.59,88
20,The Exorcism of Emily Rose,6.7,75.07,119
21,Alien: Covenant,6.4,74.26,122
22,Annabelle Comes Home,5.9,74.15,106
23,Morbius,5.2,73.87,104
24,Hollow Man,5.8,73.21,112
25,Boo! A Madea Halloween,4.6,73.21,103
26,Zombieland: Double Tap,6.7,73.12,99
27,I Know What You Did Last Summer,5.8,72.59,101
28,10 Cloverfield Lane,7.2,72.08,103
29,1408,6.8,71.99,104
30,The Purge: Anarchy,6.4,71.96,103
31,Mama,6.2,71.63,100
32,Scary Movie 2,5.3,71.31,83
33,The Invisible Man,7.1,70.41,124
34,Blade,7.1,70.09,120
35,The First Purge,5.2,69.49,97
36,Scary Stories to Tell in the Dark,6.2,68.95,108
37,Insidious: The Last Key,5.7,67.75,103
38,Lights Out,6.3,67.27,81
39,End of Days,5.8,66.89,122
40,The Final Destination,5.1,66.48,82
41,Warm Bodies,6.8,66.38,98
42,Anaconda,4.8,65.89,89
43,The Conjuring: The Devil Made Me Do It,6.3,65.63,112
44,The Amityville Horror,5.9,65.23,90
45,The Visit,6.2,65.21,94
46,Wolf,6.2,65.01,125
47,Friday the 13th,5.5,65.00,97
48,The Purge,5.7,64.47,85
49,The Witches of Eastwick,6.5,63.77,118
0,Saw IV,5.9,63.30,93
1,A Nightmare on Elm Street,5.2,63.08,95
2,Underworld: Awakening,6.3,62.32,88
3,The Wolfman,5.8,61.98,103
4,Flatliners,6.5,61.49,115
5,The Cell,6.4,61.33,107
6,Candyman,5.9,61.19,91
7,Dora and the Lost City of Gold,6.1,60.48,102
8,Resident Evil: Afterlife,5.8,60.13,96
9,Species,5.8,60.07,108
10,Pacific Rim: Uprising,5.6,59.87,111
11,Predator,7.8,59.74,107
12,Gothika,5.8,59.69,98
13,Hellboy,6.8,59.62,122
14,The Stepford Wives,5.3,59.48,93
15,Dawn of the Dead,7.3,59.02,101
16,Death Becomes Her,6.6,58.42,104
17,Halloween,6.0,58.27,109
18,Pet Sematary,6.5,57.47,103
19,Escape Room,6.4,57.01,99
20,Saw V,5.8,56.75,92
21,The Addams Family 2,5.4,56.49,93
22,White Noise,5.5,56.39,101
23,Dracula Untold,6.2,56.28,92
24,Saw,7.6,56.00,103
25,Hansel & Gretel: Witch Hunters,6.1,55.70,88
26,Happy Death Day,6.6,55.68,96
27,Alien³,6.4,55.47,114
28,The Haunting in Connecticut,5.8,55.39,92
29,The Shallows,6.3,55.12,86
30,Halloween H20: 20 Years Later,5.8,55.04,86
31,Spawn,5.2,54.97,96
32,The Curse of La Llorona,5.2,54.73,93
33,Pet Sematary,5.7,54.72,101
34,The Omen,5.5,54.61,110
35,The Woman in Black,6.4,54.33,95
36,Evil Dead,6.5,54.24,91
37,Final Destination 3,5.8,54.10,93
38,Insidious,6.8,54.01,103
39,Paranormal Activity 4,4.6,53.92,88
40,Final Destination,6.7,53.33,98
41,The Devil Inside,4.2,53.26,83
42,Arachnophobia,6.5,53.21,109
43,Sweeney Todd: The Demon Barber of Fleet Street,7.3,52.90,116
44,King Kong,5.9,52.61,134
45,The Strangers,6.1,52.60,86
46,No Good Deed,5.6,52.54,84
47,Blade: Trinity,5.8,52.41,113
48,Insidious: Chapter 3,6.1,52.22,97
49,My Bloody Valentine,5.4,51.55,101
0,Resident Evil: Apocalypse,6.1,51.20,94
1,Hide and Seek,5.9,51.10,101
2,The Predator,5.3,51.02,107
3,Ouija,4.5,50.86,89
4,The Crow,7.5,50.69,102
5,Resident Evil: Extinction,6.2,50.65,94
6,Stigmata,6.2,50.05,103
7,A Nightmare on Elm Street 4: The Dream Master,5.6,49.37,93
8,The Possession,5.9,49.13,92
9,Old,5.8,48.28,108
10,Sinister,6.8,48.09,110
11,When a Stranger Calls,5.1,47.86,87
12,The Skeleton Key,6.5,47.81,104
13,Alien: Resurrection,6.2,47.75,109
14,Poltergeist,4.9,47.43,93
15,Hostel,5.9,47.33,94
16,Boo 2! A Madea Halloween,3.9,47.32,101
17,Halloween,7.7,47.00,91
18,Silent Hill,6.5,46.98,125
19,Final Destination 2,6.2,46.96,90
20,Boogeyman,4.2,46.75,89
21,Goosebumps 2: Slappy's Revenge,5.6,46.70,90
22,Saw 3D,5.5,45.71,90
