title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Orphan: First Kill,en,2022-07-27,5088.584,902,6.9,0.0,Thriller,Orphan Collection,2022
Beast,en,2022-08-11,2172.338,584,7.1,0.0,Adventure,,2022
Smile,en,2022-09-23,1863.628,114,6.8,17000000.0,Mystery,,2022
The Black Phone,en,2022-06-22,1071.398,2736,7.9,18800000.0,Thriller,,2022
Presences,es,2022-09-07,1020.995,83,7.0,0.0,Horror,,2022
Sonríe,es,2022-08-18,939.712,1,1.0,0.0,Thriller,,2022
Jeepers Creepers: Reborn,en,2022-09-15,821.605,125,5.8,20000000.0,Mystery,Jeepers Creepers Collection,2022
Nope,en,2022-07-20,733.112,1684,7.0,68000000.0,Mystery,,2022
Hunting Ava Bravo,en,2022-04-01,574.832,73,6.5,0.0,Action,,2022
X,en,2022-03-17,543.67,1035,6.8,10000000.0,Mystery,X Collection,2022
The Exorcism of God,en,2022-03-11,537.252,637,7.3,1500000.0,Horror,,2022
The Jack in the Box: Awakening,en,2022-02-24,527.579,157,6.4,0.0,Horror,Jack in the Box Collection,2022
Torn Hearts,en,2022-05-20,525.876,39,6.1,0.0,Music,,2022
The Cellar,en,2022-03-25,513.757,257,6.6,0.0,Mystery,,2022
My Best Friend's Exorcism,en,2022-09-29,501.921,43,6.1,0.0,Comedy,,2022
Day Shift,en,2022-08-10,449.683,1129,6.9,0.0,Action,,2022
Beneath the Surface,en,2022-04-01,412.34,50,6.9,0.0,Fantasy,,2022
Shut In,en,2022-03-24,399.436,224,7.2,0.0,Thriller,,2022
The Grandmother,es,2022-01-28,381.305,272,5.9,0.0,Drama,,2022
Dahmer,en,2002-06-21,378.39,220,5.2,250000.0,Drama,,2002
Titanic 666,en,2022-04-15,372.136,98,6.0,0.0,Thriller,,2022
Visitor,es,2021-02-11,358.179,7,6.1,0.0,Horror,,2021
Halloween Kills,en,2021-10-14,315.027,1941,6.7,20000000.0,Thriller,Halloween Collection,2021
Incantation,zh,2022-03-18,313.282,339,6.9,0.0,Horror,,2022
Veneciafrenia,es,2022-04-22,302.239,133,6.1,0.0,Horror,,2022
Texas Chainsaw Massacre,en,2022-02-18,293.443,958,5.3,20000000.0,Thriller,Texas Chainsaw Massacre Collection,2022
Scream,en,2022-01-12,291.196,1732,6.7,24000000.0,Mystery,Scream Collection,2022
Valley of the Dead,es,2020-10-08,276.369,201,6.3,0.0,Comedy,,2020
Halloween Ends,en,2022-10-12,270.269,2,10.0,20000000.0,Mystery,Halloween Collection,2022
Smile,it,2009-08-28,266.502,16,3.9,0.0,Thriller,,2009
Orphan,en,2009-07-24,265.858,4403,7.0,20000000.0,Mystery,Orphan Collection,2009
See for Me,en,2022-01-07,254.809,110,6.1,0.0,Crime,,2022
Bring It On: Cheer or Die,en,2022-09-27,253.614,34,6.2,0.0,Comedy,Bring It On Collection,2022
No Exit,en,2022-02-25,252.675,750,7.0,0.0,Mystery,,2022
They/Them,en,2022-07-24,249.32,105,5.3,0.0,Thriller,,2022
The Requin,en,2022-01-28,248.496,191,4.7,0.0,Thriller,,2022
Jeepers Creepers 3,en,2017-09-26,246.189,692,4.9,6200000.0,Mystery,Jeepers Creepers Collection,2017
The Conjuring: The Devil Made Me Do It,en,2021-05-25,246.13,4689,7.6,39000000.0,Mystery,The Conjuring Collection,2021
Resident Evil: Welcome to Raccoon City,en,2021-11-24,245.332,1831,6.1,40000000.0,Action,,2021
Shark Bait,en,2022-05-13,242.754,163,6.0,0.0,Action,,2022
The Addams Family 2,en,2021-10-01,241.156,953,7.1,0.0,Adventure,The Addams Family (Animated) Collection,2021
It Chapter Two,en,2019-09-04,230.451,7221,6.9,79000000.0,Fantasy,It Collection,2019
She Will,en,2022-07-15,229.223,24,5.6,0.0,Drama,,2022
Studio 666,en,2022-02-24,227.919,106,6.3,0.0,Comedy,,2022
The Last Zombie,es,2021-12-02,226.0,3,5.7,0.0,Horror,,2021
The Passenger,es,2022-06-03,220.766,25,6.4,0.0,Horror,,2022
WarHunt,en,2022-01-21,215.537,60,5.1,0.0,Action,,2022
The Unholy,en,2021-03-31,207.113,1737,6.7,10000000.0,Mystery,,2021
Goodnight Mommy,en,2022-09-16,198.775,159,6.2,0.0,Drama,,2022
Virus:32,es,2022-04-21,198.632,155,7.2,0.0,Horror,,2022
The Forever Purge,en,2021-06-30,198.269,1904,7.2,18000000.0,Action,The Purge Collection,2021
Don't Breathe 2,en,2021-08-12,196.003,1847,7.3,10000000.0,Thriller,Don't Breathe Collection,2021
Jeepers Creepers,en,2001-07-01,195.983,2395,6.4,10000000.0,Thriller,Jeepers Creepers Collection,2001
Roald Dahl's The Witches,en,2020-10-25,192.006,2331,6.4,0.0,Adventure,,2020
Ripper Untold,en,2021-06-28,187.478,107,6.2,0.0,Horror,,2021
V for Vengeance,en,2022-06-07,185.965,49,6.8,0.0,Action,,2022
The Conjuring,en,2013-07-18,173.527,9735,7.5,13000000.0,Thriller,The Conjuring Collection,2013
Jeepers Creepers 2,en,2003-08-08,169.063,1287,6.1,17000000.0,Horror,Jeepers Creepers Collection,2003
The Invitation,en,2022-08-24,168.001,176,6.3,10000000.0,Thriller,,2022
Dark Cloud,en,2022-05-09,167.344,60,6.6,0.0,Science Fiction,,2022
Queen of Spades,en,2021-06-11,164.687,66,6.6,0.0,Horror,,2021
Living with Chucky,en,2022-08-13,163.646,2,2.0,0.0,Documentary,,2022
The Hunting,en,2022-01-21,163.448,28,4.9,0.0,Horror,,2022
Bull Shark,en,2022-02-05,161.874,52,5.5,0.0,Thriller,,2022
Halloween,en,2018-10-18,158.374,3974,6.5,10000000.0,Thriller,Halloween Collection,2018
A Quiet Place Part II,en,2021-05-21,153.956,4721,7.6,61000000.0,Science Fiction,A Quiet Place Collection,2021
Paranormal Activity: Next of Kin,en,2021-10-29,149.767,426,6.4,0.0,Mystery,Paranormal Activity Collection,2021
Old,en,2021-07-21,148.823,3080,6.5,18000000.0,Mystery,,2021
Black Water: Abyss,en,2020-07-09,147.567,351,5.1,0.0,Adventure,Black Water Collection,2020
Dark Spell,ru,2021-02-11,146.99,120,6.8,0.0,Fantasy,,2021
The House,en,2022-01-14,145.57,740,7.0,0.0,Animation,,2022
The Haunting of Helena,en,2013-01-14,142.934,129,5.5,0.0,Thriller,,2013
Naruto Shippuden the Movie: Blood Prison,ja,2011-07-30,142.096,404,7.2,0.0,Action,Naruto Collection,2011
Bride of Chucky,en,1998-10-16,139.831,1495,6.0,25000000.0,Comedy,Child's Play Collection,1998
Sonríe,eo,2012-10-23,138.633,1,2.0,0.0,Horror,,2012
Wrong Turn 3: Left for Dead,en,2009-10-20,138.012,904,5.6,3000000.0,Thriller,Wrong Turn Collection,2009
Tarumama,es,2021-07-29,137.971,27,4.5,0.0,Drama,,2021
The Conjuring 2,en,2016-06-08,137.18,7061,7.3,40000000.0,Thriller,The Conjuring Collection,2016
World War Z,en,2013-06-20,131.399,13440,6.8,200000000.0,Action,,2013
The Nun,en,2018-09-05,131.032,5393,5.8,22000000.0,Mystery,The Nun Collection,2018
The Legacy of Chucky,en,2021-07-25,128.64,12,6.4,0.0,Documentary,,2021
Two,es,2021-07-23,127.062,266,5.4,0.0,Thriller,,2021
A Haunted House 2,en,2014-04-17,125.807,1126,6.0,4000000.0,Comedy,A Haunted House Collection,2014
Wrong Turn 4: Bloody Beginnings,en,2011-10-17,125.455,857,5.7,3000000.0,Thriller,Wrong Turn Collection,2011
Wrong Turn 2: Dead End,en,2007-08-25,123.581,1084,6.0,4000000.0,Thriller,Wrong Turn Collection,2007
Mal de Ojo,es,2022-09-22,122.085,4,3.3,0.0,Horror,,2022
Chucky's Vacation Slides,en,2005-06-07,119.795,7,6.3,0.0,Comedy,,2005
Constantine,en,2005-02-08,119.677,5863,7.0,100000000.0,Action,Constantine Collection,2005
Antlers,en,2021-10-28,119.584,782,6.3,0.0,Drama,,2021
Wrong Turn,en,2021-01-26,119.017,804,6.0,0.0,Thriller,,2021
Hidden,en,2015-09-15,117.32,712,6.8,0.0,Thriller,,2015
The Meg,en,2018-08-09,116.512,6068,6.2,150000000.0,Action,The Meg Collection,2018
Cult of Chucky,en,2017-10-23,116.318,959,5.8,6500000.0,Thriller,Child's Play Collection,2017
The Addams Family,en,2019-10-10,116.021,1851,6.6,40000000.0,Animation,The Addams Family (Animated) Collection,2019
The Deep House,en,2021-06-30,115.268,717,6.3,0.0,Horror,,2021
Wrong Turn 5: Bloodlines,en,2012-10-23,112.707,750,5.4,3000000.0,Thriller,Wrong Turn Collection,2012
Meander,fr,2021-05-26,112.295,284,6.0,0.0,Drama,,2021
Fear Street: 1994,en,2021-06-28,111.397,1708,6.8,0.0,Fantasy,Fear Street Collection,2021
Demonic,en,2021-07-29,110.83,153,4.9,0.0,Drama,,2021
Legion,en,2010-01-21,110.404,2190,5.8,26000000.0,Action,,2010
Terrifier 2,en,2022-10-06,109.994,1,8.0,0.0,Thriller,Terrifier Collection,2022
Halloween,en,1978-10-24,109.29,4421,7.6,325000.0,Thriller,Halloween Collection,1978
Child's Play,en,1988-11-09,108.342,2335,6.6,9000000.0,Horror,Child's Play Collection,1988
A Haunted House,en,2013-01-11,108.186,1499,5.8,2500000.0,Comedy,A Haunted House Collection,2013
The First Purge,en,2018-07-04,108.11,3413,6.0,13000000.0,Action,The Purge Collection,2018
It,en,2017-09-06,106.786,16900,7.2,35000000.0,Fantasy,It Collection,2017
Smile,en,2016-11-16,106.579,0,0.0,0.0,Horror,,2016
The Remaining,en,2014-08-25,106.016,285,5.7,0.0,Thriller,,2014
Fear Street: 1978,en,2021-07-08,105.156,1406,7.3,0.0,Fantasy,Fear Street Collection,2021
Separation,en,2021-04-30,104.611,161,5.8,0.0,Drama,,2021
