,title,rotten_rates,director
0,A Nightmare on Elm Street 3: Dream Warriors,72%,Chuck Russell
1,Phenomena,74%,Dario Argento
2,Bram Stoker's Dracula,78%,Francis Ford Coppola
3,Hellraiser,70%,Clive Barker
4,It's Alive!,70%,Larry Cohen
5,Jacob's Ladder,72%,Adrian Lyne
6,Open Water,71%,Chris Kentis
7,The Mist,72%,Frank Darabont
8,The Ring,71%,Gore Verbinski
9,Phantasm,74%,Don Coscarelli
10,Frailty,75%,Bill Paxton
11,Dog Soldiers,81%,Neil Marshall
12,Basket Case,77%,Frank Henenlotter
13,Eden Lake,80%,James Watkins
14,Candyman,79%,Bernard Rose
15,Oculus,75%,Mike Flanagan
16,Land of the Dead,74%,George A. Romero
17,Night of the Comet,79%,Thom Eberhardt
18,Wes Craven's New Nightmare,79%,Wes Craven
19,Trick 'r Treat,81%,Michael Dougherty
20,The Lost Boys,76%,Joel Schumacher
21,The Lodge,74%,Veronika Franz
22,Scream,80%,Wes Craven
23,Southbound,81%,Roxanne Benjamin
24,Lights Out,75%,David F. Sandberg
25,The Platform,79%,Galder Gaztelu-Urrutia
26,The Brood,83%,David Cronenberg
27,The Cat o' Nine Tails,81%,Dario Argento
28,Mute Witness,83%,Anthony Waller
29,You're Next,79%,Adam Wingard
30,Videodrome,80%,David Cronenberg
31,Thirst,81%,Park Chan-wook
32,Audition,83%,Takashi Miike
33,Three...Extremes (Saam gaang yi),83%,Takashi Miike
34,Dead Ringers,84%,David Cronenberg
35,Scream 2,82%,Wes Craven
36,1408,79%,Mikael Håfström
37,A Tale of Two Sisters,85%,Kim Jee-woon
38,Ouija: Origin of Evil,83%,Mike Flanagan
39,Pontypool,84%,Bruce McDonald
40,The Shallows,78%,Jaume Collet-Serra
41,Shadow of the Vampire,81%,E. Elias Merhige
42,The House of the Devil,85%,Ti West
43,Tucker & Dale vs Evil,85%,Eli Craig
44,Dracula: Pages From a Virgin's Diary,87%,Guy Maddin
45,The Others,84%,Alejandro Amenábar
46,Creature From the Black Lagoon,80%,Jack Arnold
47,Tremors,88%,Ron Underwood
48,Creep,90%,Patrick Brice
49,Carnival of Souls,87%,Herk Harvey
50,Rec,90%,Jaume Balagueró
51,Paranormal Activity,83%,Oren Peli
52,The Conjuring 2,80%,James Wan
53,Ginger Snaps,90%,John Fawcett
54,Goodnight Mommy,85%,Veronika Franz
55,Julia's Eyes,90%,Guillem Morales
56,Sisters,85%,Brian De Palma
57,Cargo,87%,Ben Howling
58,Slither,87%,James Gunn
59,House on Haunted Hill,78%,William Castle
60,Poltergeist,88%,Tobe Hooper
61,The Girl With All the Gifts,85%,Colm McCarthy
62,The Thing,84%,John Carpenter
63,Dead Alive,89%,Peter Jackson
64,Freaks,88%,Adam B. Stein
65,The Tenant,83%,Roman Polanski
66,The Descent,86%,Neil Marshall
67,Better Watch Out,89%,Chris Peckover
68,An American Werewolf in London,89%,John Landis
69,Doctor Sleep,78%,Mike Flanagan
70,The Omen,84%,Richard Donner
71,Creepy,90%,Kiyoshi Kurosawa
72,Come to Daddy,87%,Ant Timpson
73,Crawl,84%,Alexandre Aja
74,The Exorcist,84%,William Friedkin
75,The Invitation,89%,Karyn Kusama
76,Hounds of Love,88%,Ben Young
77,1922,92%,Zak Hilditch
78,The Abominable Dr. Phibes,88%,Robert Fuest
79,Martin,90%,George A. Romero
80,House,90%,Nobuhiko Ôbayashi
81,Henry: Portrait of a Serial Killer,89%,John McNaughton
82,Rare Exports: A Christmas Tale,89%,Jalmari Helander
83,Candyman,84%,Nia DaCosta
84,The Orphanage,87%,Juan Antonio Bayona
85,The Dead Zone,88%,David Cronenberg
86,Bone Tomahawk,91%,S. Craig Zahler
87,Duel,89%,Steven Spielberg
88,House of Usher,84%,Roger Corman
89,The Blair Witch Project,86%,Daniel Myrick
90,The Devil's Candy,92%,Sean Byrne
91,Gerald's Game,91%,Mike Flanagan
92,28 Days Later,87%,Danny Boyle
93,Prevenge,91%,Alice Lowe
94,Demon,92%,Marcin Wrona
95,Horror of Dracula,90%,Terence Fisher
96,Fright Night,82%,Tom Holland
97,The Wicker Man,90%,Robin Hardy
98,Nina Forever,93%,Ben Blaine
99,The Texas Chain Saw Massacre,88%,Tobe Hooper
100,The Conjuring,86%,James Wan
101,Misery,91%,Rob Reiner
102,Village of the Damned,93%,Wolf Rilla
103,Color Out of Space,86%,Richard Stanley
104,Let Me In,88%,Matt Reeves
105,Halloween,79%,David Gordon Green
106,Theatre of Blood,88%,Douglas Hickox
107,Attack the Block,90%,Joe Cornish
